"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","003","000142","ME0100","19/10/2023","15","240","240","0","0.0"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000158","THE020","23/10/2023","20","298","320","-22","-7.5"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000192","UBMM01","25/10/2023","30","466","480","-14","-3.1"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","003","000202","ME0100","26/10/2023","50","800","800","0","0.0"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","003","000215","TT0700","30/10/2023","3","44","48","-4","-8.7"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000307","NT0300","08/11/2023","50","640","800","-160","-25.0"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000381","UBMM01","15/11/2023","50","776","800","-24","-3.1"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000429","UBMM01","20/11/2023","100","1553","1600","-47","-3.0"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","003","000613","T06000","06/12/2023","100","1440","1600","-160","-11.1"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000849","NT0300","12/02/2024","50","680","800","-120","-17.6"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000850","NT0300","12/02/2024","50","680","800","-120","-17.6"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","002","001227","DST010","24/04/2024","1","15","16","-1","-5.3"
"TOTALS:","","","","","","469","6952","7504","-552","-7.9"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000019","NT0300","12/02/2024","-50","-680","-800","120","-17.6"
"JL-A7","SHIELD HOLDER 145MM (H)","003","000071","T06000","11/10/2023","100","1440","1600","-160","-11.1"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000158","THE020","23/10/2023","20","298","320","-22","-7.5"
"JL-A7","SHIELD HOLDER 145MM (H)","003","000183","SSL010","25/10/2023","36","576","576","0","0.0"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000192","UBMM01","25/10/2023","30","466","480","-14","-3.1"
"JL-A7","SHIELD HOLDER 145MM (H)","003","000215","TT0700","30/10/2023","12","177","192","-15","-8.7"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000307","NT0300","08/11/2023","50","640","800","-160","-25.0"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000429","UBMM01","20/11/2023","50","776","800","-24","-3.1"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000849","NT0300","12/02/2024","50","680","800","-120","-17.6"
"JL-A7","SHIELD HOLDER 145MM (H)","001","000850","NT0300","12/02/2024","50","680","800","-120","-17.6"
"TOTALS:","","","","","","348","5052","5568","-516","-10.2"
"JL-D01-BZ","DIAMOND MEDAL BZ 70MM","003","001486","TT0700","01/07/2024","1","15","16","-1","-8.7"
"TOTALS:","","","","","","1","15","16","-1","-8.7"
"JL-D01-GD","DIAMOND MEDAL GD 70MM","003","001486","TT0700","01/07/2024","1","15","16","-1","-8.7"
"TOTALS:","","","","","","1","15","16","-1","-8.7"
"JL-D01-SV","DIAMOND MEDAL SV 70MM","003","001486","TT0700","01/07/2024","1","15","16","-1","-8.7"
"TOTALS:","","","","","","1","15","16","-1","-8.7"
"JL-DP20","COMMET HOLDER W/BASE 155MM (","001","000158","THE020","23/10/2023","20","670","720","-50","-7.5"
"JL-DP20","COMMET HOLDER W/BASE 155MM (","003","000342","LYE010","10/11/2023","12","410","432","-22","-5.3"
"TOTALS:","","","","","","32","1080","1152","-72","-6.7"
"JL-DP22","SML BLUE CROWN HOLD W/BASE 1","001","000450","VE0100","22/11/2023","10","414","460","-46","-11.1"
"JL-DP22","SML BLUE CROWN HOLD W/BASE 1","001","000457","VE0100","22/11/2023","25","1035","1150","-115","-11.1"
"JL-DP22","SML BLUE CROWN HOLD W/BASE 1","001","001057","VE0100","19/03/2024","14","580","644","-64","-11.1"
"JL-DP22","SML BLUE CROWN HOLD W/BASE 1","001","001234","VE0100","25/04/2024","20","828","920","-92","-11.1"
"TOTALS:","","","","","","69","2857","3174","-317","-11.1"
"JL-DP23","SML RED CROWN WHEAT HOLD W/B","001","000450","VE0100","22/11/2023","10","414","460","-46","-11.1"
"JL-DP23","SML RED CROWN WHEAT HOLD W/B","001","000457","VE0100","22/11/2023","25","1035","1150","-115","-11.1"
"JL-DP23","SML RED CROWN WHEAT HOLD W/B","001","000664","VE0100","13/12/2023","20","828","920","-92","-11.1"
"TOTALS:","","","","","","55","2277","2530","-253","-11.1"
"JL-DS6750-A","GD/BLK SOCCER BALL CUP 400MM","001","000450","VE0100","22/11/2023","2","360","400","-40","-11.1"
"JL-DS6750-A","GD/BLK SOCCER BALL CUP 400MM","003","001008","FDS010","12/03/2024","3","552","600","-48","-8.7"
"JL-DS6750-A","GD/BLK SOCCER BALL CUP 400MM","001","001316","JAM010","14/05/2024","24","4080","4800","-720","-17.6"
"JL-DS6750-A","GD/BLK SOCCER BALL CUP 400MM","003","001389","TT0700","31/05/2024","1","184","200","-16","-8.7"
"TOTALS:","","","","","","30","5176","6000","-824","-15.9"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","003","000071","T06000","11/10/2023","3","451","501","-50","-11.1"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","001","000079","PGJ010","11/10/2023","3","451","501","-50","-11.1"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","001","000178","TC0700","24/10/2023","1","150","167","-17","-11.1"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","001","000450","VE0100","22/11/2023","2","317","351","-34","-10.9"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","001","000526","MSB010","29/11/2023","1","167","176","-8","-5.0"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","003","001008","FDS010","12/03/2024","3","486","527","-41","-8.5"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","003","001304","COS010","09/05/2024","2","317","351","-34","-10.9"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370MM","001","001316","JAM010","14/05/2024","24","3590","4215","-625","-17.4"
"TOTALS:","","","","","","39","5929","6789","-860","-14.5"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335MM","001","000450","VE0100","22/11/2023","2","274","304","-30","-11.1"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335MM","001","000526","MSB010","29/11/2023","1","144","152","-8","-5.3"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335MM","003","001008","FDS010","12/03/2024","3","420","456","-36","-8.7"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335MM","003","001304","COS010","09/05/2024","2","274","304","-30","-11.1"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335MM","001","001316","JAM010","14/05/2024","24","3101","3648","-547","-17.6"
"TOTALS:","","","","","","32","4212","4864","-652","-15.5"
"JL-F02-GD","FLAME GOLD MEDAL 50MM","001","000076","UBMM01","11/10/2023","60","466","480","-14","-3.1"
"TOTALS:","","","","","","60","466","480","-14","-3.1"
"JL-G01-GD","GD GEAR WITH WEAT 50MM(DIAM)","001","000076","UBMM01","11/10/2023","5","39","41","-1","-3.1"
"JL-G01-GD","GD GEAR WITH WEAT 50MM(DIAM)","003","000496","FDS010","27/11/2023","4","30","32","-3","-8.7"
"TOTALS:","","","","","","9","69","73","-4","-5.5"
"JL-G01-SV","SV GEAR WITH WEAT 50MM(DIAM)","001","000076","UBMM01","11/10/2023","5","39","41","-1","-3.1"
"JL-G01-SV","SV GEAR WITH WEAT 50MM(DIAM)","001","001166","LS0200","15/04/2024","50","162","405","-243","-150.0"
"TOTALS:","","","","","","55","201","446","-244","-121.3"
"JL-G2091-1BZ","BZ STAR HOLDER ON BASE 220MM","001","000076","UBMM01","11/10/2023","2","124","128","-4","-3.1"
"JL-G2091-1BZ","BZ STAR HOLDER ON BASE 220MM","001","000152","TP0100","20/10/2023","3","182","192","-10","-5.3"
"JL-G2091-1BZ","BZ STAR HOLDER ON BASE 220MM","001","000314","UBMM01","08/11/2023","3","186","192","-6","-3.1"
"TOTALS:","","","","","","8","493","512","-19","-3.9"
"JL-G2091-1GD","GD STAR HOLDER ON BASE 220MM","001","000152","TP0100","20/10/2023","1","61","64","-3","-5.3"
"JL-G2091-1GD","GD STAR HOLDER ON BASE 220MM","003","000617","LYE010","06/12/2023","8","486","512","-26","-5.3"
"TOTALS:","","","","","","9","547","576","-29","-5.3"
"JL-G2091-1SV","SV STAR HOLDER ON BASE 220MM","001","000152","TP0100","20/10/2023","1","61","64","-3","-5.3"
"JL-G2091-1SV","SV STAR HOLDER ON BASE 220MM","003","000617","LYE010","06/12/2023","14","851","896","-45","-5.3"
"TOTALS:","","","","","","15","912","960","-48","-5.3"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000019","NT0300","12/02/2024","-25","-2125","-2500","375","-17.6"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000082","VE0100","11/10/2023","15","1350","1500","-150","-11.1"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000125","NT0300","17/10/2023","15","1200","1500","-300","-25.0"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000173","JAM010","24/10/2023","48","4080","4800","-720","-17.6"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000307","NT0300","08/11/2023","10","800","1000","-200","-25.0"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000849","NT0300","12/02/2024","25","2125","2500","-375","-17.6"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000850","NT0300","12/02/2024","25","2125","2500","-375","-17.6"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000929","NT0300","27/02/2024","20","1700","2000","-300","-17.6"
"JL-GD015A","STARS RED CROWN 335MM (H)","001","000939","NT0300","29/02/2024","11","935","1100","-165","-17.6"
"TOTALS:","","","","","","144","12190","14400","-2210","-18.1"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000019","NT0300","12/02/2024","-25","-1955","-2300","345","-17.6"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000082","VE0100","11/10/2023","15","1242","1380","-138","-11.1"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000125","NT0300","17/10/2023","15","1104","1380","-276","-25.0"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000173","JAM010","24/10/2023","48","3754","4416","-662","-17.6"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000307","NT0300","08/11/2023","10","736","920","-184","-25.0"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000849","NT0300","12/02/2024","25","1955","2300","-345","-17.6"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000850","NT0300","12/02/2024","25","1955","2300","-345","-17.6"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000929","NT0300","27/02/2024","20","1564","1840","-276","-17.6"
"JL-GD015B","STARS RED CROWN 305MM (H)","001","000939","NT0300","29/02/2024","11","860","1012","-152","-17.6"
"TOTALS:","","","","","","144","11215","13248","-2033","-18.1"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000019","NT0300","12/02/2024","-25","-1445","-1700","255","-17.6"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000082","VE0100","11/10/2023","15","918","1020","-102","-11.1"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000125","NT0300","17/10/2023","15","816","1020","-204","-25.0"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000158","THE020","23/10/2023","5","316","340","-24","-7.5"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000173","JAM010","24/10/2023","48","2774","3264","-490","-17.6"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000307","NT0300","08/11/2023","10","544","680","-136","-25.0"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000849","NT0300","12/02/2024","25","1445","1700","-255","-17.6"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000850","NT0300","12/02/2024","25","1445","1700","-255","-17.6"
"JL-GD015C","STARS NO RED CROWN 245MM (H)","001","000929","NT0300","27/02/2024","74","4277","5032","-755","-17.6"
"TOTALS:","","","","","","192","11091","13056","-1965","-17.7"
"JL-GL-1B","GOLD GOLF CUP 430MM(H)","001","000159","THE020","23/10/2023","1","232","249","-17","-7.5"
"TOTALS:","","","","","","1","232","249","-17","-7.5"
"JL-GL-1C","GOLD GOLF CUP 370MM(H)","001","000159","THE020","23/10/2023","1","205","220","-15","-7.5"
"TOTALS:","","","","","","1","205","220","-15","-7.5"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","002","000186","FP0200","25/10/2023","100","966","1050","-84","-8.7"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","003","000763","TB0100","30/01/2024","170","1571","1785","-214","-13.6"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","003","000925","TB0100","26/02/2024","41","379","431","-51","-13.5"
