"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"TOTALS:","","","","","","3","293","315","-22","-7.5"
"CS-45-S","PRESTIGES LIKE 165MM (H)","002","005356","TE0300","29/05/2026","3","236","315","-79","-33.3"
"CS-45-S","PRESTIGES LIKE 165MM (H)","002","005368","TB0100","04/06/2026","2","179","210","-32","-17.6"
"TOTALS:","","","","","","5","415","525","-110","-26.6"
"CS-50-S","FLAME TROPHY 160MM (H)","003","005350","VE0100","29/05/2026","2","197","246","-49","-25.0"
"CS-50-S","FLAME TROPHY 160MM (H)","002","005356","TE0300","29/05/2026","3","277","369","-92","-33.3"
"CS-50-S","FLAME TROPHY 160MM (H)","002","005368","TB0100","04/06/2026","2","209","246","-37","-17.6"
"TOTALS:","","","","","","7","683","861","-178","-26.1"
"CS-55-L","FLAT SHIELD GREEN 225MM(H)","003","005350","VE0100","29/05/2026","10","1432","1790","-358","-25.0"
"CS-55-L","FLAT SHIELD GREEN 225MM(H)","002","005356","TE0300","29/05/2026","3","403","537","-134","-33.3"
"TOTALS:","","","","","","13","1835","2327","-492","-26.8"
"CS-59-1L","BADGE SHIELD & WREATH 250MM","003","005350","VE0100","29/05/2026","5","812","1015","-203","-25.0"
"CS-59-1L","BADGE SHIELD & WREATH 250MM","002","005356","TE0300","29/05/2026","3","457","609","-152","-33.3"
"TOTALS:","","","","","","8","1269","1624","-355","-28.0"
"CS-59-1S","BADGE SHIELD & WREATH 210MM","003","005350","VE0100","29/05/2026","4","448","560","-112","-25.0"
"CS-59-1S","BADGE SHIELD & WREATH 210MM","002","005356","TE0300","29/05/2026","3","315","420","-105","-33.3"
"CS-59-1S","BADGE SHIELD & WREATH 210MM","003","005359","TP0200","01/06/2026","1","126","140","-14","-11.1"
"TOTALS:","","","","","","8","889","1120","-231","-26.0"
"CS-66-L","SQUARE W/ WREATH; BLUE PIECE","002","005356","TE0300","29/05/2026","3","425","567","-142","-33.3"
"TOTALS:","","","","","","3","425","567","-142","-33.3"
"CS-666-C","CUT CORNER CUBE 60*60*60MM","002","005376","IT0100","05/06/2026","2","130","144","-14","-11.1"
"TOTALS:","","","","","","2","130","144","-14","-11.1"
"CS-67-L","SHIELD ROUNDED BOTTOM W/ WRE","002","005356","TE0300","29/05/2026","9","1276","1701","-425","-33.3"
"TOTALS:","","","","","","9","1276","1701","-425","-33.3"
"CS-67-M","SHIELD ROUNDED BOTTOM W/ WRE","003","005352","TC0700","29/05/2026","3","378","504","-126","-33.3"
"CS-67-M","SHIELD ROUNDED BOTTOM W/ WRE","002","005356","TE0300","29/05/2026","5","630","840","-210","-33.3"
"TOTALS:","","","","","","8","1008","1344","-336","-33.3"
"CS-67-S","SHIELD ROUNDED BOTTOM W/ WRE","002","005356","TE0300","29/05/2026","3","299","399","-100","-33.3"
"TOTALS:","","","","","","3","299","399","-100","-33.3"
"CS-68-S","SHIELD W/ WREATH; BLACK PIEC","003","005352","TC0700","29/05/2026","6","599","798","-200","-33.3"
"TOTALS:","","","","","","6","599","798","-200","-33.3"
