"ITEM NUMBER","DESCRIPTION","SUPPLIER","DOCNO","REFNO","DATE","QUANTITY","PRICE","TOTAL"
"CS-H-3","ROUND DB/BASE 190MM 160MM(","KWC000 KWC","000009","000009","08/10/2024","100.00","175.00","17500.00"
"CS-H-5","SHIELD DB/BASE 200MM(H)  #","KWC000 KWC","000009","000009","08/10/2024","120.00","175.00","21000.00"
"CS-HEX01-L","LONG HEXAGON WITH STARS 28","KWC000 KWC","000006","000006","20/06/2024","100.00","215.00","21500.00"
"CS-HEX01-M","LONG HEXAGON WITH STARS 25","KWC000 KWC","000006","000006","20/06/2024","100.00","175.00","17500.00"
"CS-HEX01-S","LONG HEXAGON WITH STARS 22","KWC000 KWC","000006","000006","20/06/2024","100.00","143.00","14300.00"
"CS-J-13B","FLAME CLEAR BLACK BASE 155","KWC000 KWC","000001","000001","17/11/2023","120.00","97.00","11640.00"
"CS-J-13B","FLAME CLEAR BLACK BASE 155","KWC000 KWC","000009","000009","08/10/2024","300.00","88.00","26400.00"
"CS-J-4B","DIAMOND SHAPE BLACK BASE 1","KWC000 KWC","000009","000009","08/10/2024","200.00","88.00","17600.00"
"CS-J-6","SHIELD ROUNDED TOP 155MM(H","KWC000 KWC","000004","000004","28/02/2024","120.00","97.00","11640.00"
"CS-J-6","SHIELD ROUNDED TOP 155MM(H","KWC000 KWC","000009","000009","08/10/2024","20.00","88.00","1760.00"
"CS-J-60","SHIELD ROUNDED BOTTOM 160M","KWC000 KWC","000004","000004","28/02/2024","120.00","97.00","11640.00"
"CS-J-60","SHIELD ROUNDED BOTTOM 160M","KWC000 KWC","000009","000009","08/10/2024","100.00","88.00","8800.00"
"CS-J-68","LEAVE SHAPE 160MM(H)  #","KWC000 KWC","000004","000004","28/02/2024","120.00","97.00","11640.00"
"CS-J-68","LEAVE SHAPE 160MM(H)  #","KWC000 KWC","000009","000009","08/10/2024","240.00","88.00","21120.00"
"CS-J-7B","TRIANGLE FLAT TOP B/BASE16","KWC000 KWC","000001","000001","17/11/2023","120.00","97.00","11640.00"
"CS-J-7B","TRIANGLE FLAT TOP B/BASE16","KWC000 KWC","000009","000009","08/10/2024","220.00","88.00","19360.00"
"CS-J-8","PRESTIGED SHAPE 155MM(H)","KWC000 KWC","000001","000001","17/11/2023","120.00","97.00","11640.00"
"CS-J-8","PRESTIGED SHAPE 155MM(H)","KWC000 KWC","000009","000009","08/10/2024","240.00","88.00","21120.00"
"CS-K05-L","HEPTAGON SHAPE TROPHY 270M","KWC000 KWC","000001","000001","17/11/2023","80.00","382.00","30560.00"
"CS-K05-L","HEPTAGON SHAPE TROPHY 270M","KWC000 KWC","000006","000006","20/06/2024","240.00","406.00","97440.00"
"CS-K05-M","HEPTAGON SHAPE TROPHY 230M","KWC000 KWC","000001","000001","17/11/2023","72.00","300.00","21600.00"
"CS-K05-M","HEPTAGON SHAPE TROPHY 230M","KWC000 KWC","000006","000006","20/06/2024","240.00","318.00","76320.00"
"CS-K05-S","HEPTAGON SHAPE TROPHY 185M","KWC000 KWC","000006","000006","20/06/2024","120.00","254.00","30480.00"
"CS-K05-S","HEPTAGON SHAPE TROPHY 185M","KWC000 KWC","000009","000009","08/10/2024","100.00","224.00","22400.00"
"CS-K08-L","LONG ROUND FLAT 300MM(H)","KWC000 KWC","000006","000006","20/06/2024","120.00","454.00","54480.00"
"CS-K08-M","LONG ROUND FLAT 270MM(H)","KWC000 KWC","000006","000006","20/06/2024","120.00","398.00","47760.00"
